Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
207,315,99,2,3.5,3.0,7.89,0
14,307,109,3,4.0,3.0,8.0,1
119,296,99,2,3.0,3.5,7.28,0
243,324,115,3,3.5,3.0,8.76,1
236,326,111,5,4.5,4.0,9.23,1
292,300,102,2,1.5,2.0,7.87,0
2,324,107,4,4.0,4.5,8.87,1
395,329,111,4,4.5,4.0,9.23,1
320,327,113,4,3.5,3.0,8.69,1
271,306,105,2,2.5,3.0,8.22,1
72,336,112,5,5.0,5.0,9.76,1
313,311,107,4,4.5,4.5,9.0,1
228,312,110,2,3.5,3.0,8.53,0
300,305,112,3,3.0,3.5,8.65,0
195,316,109,3,3.5,3.0,8.76,0
184,314,110,3,4.0,4.0,8.8,0
105,326,112,3,3.5,3.0,9.05,1
328,295,101,2,2.5,2.0,7.86,0
374,321,109,3,3.0,3.0,8.54,1
265,325,110,2,3.0,2.5,8.76,1
206,295,99,2,2.5,3.0,7.65,0
339,323,108,5,4.0,4.0,8.74,1
353,303,100,2,3.0,3.5,8.06,1
74,314,108,4,4.5,4.0,9.04,1
117,299,102,3,4.0,3.5,8.62,0
322,323,104,3,4.0,4.0,8.44,1
368,311,98,1,1.0,2.5,7.46,0
179,309,108,3,2.5,3.0,8.12,0
248,311,104,2,2.5,3.5,8.48,0
144,340,120,4,4.5,4.0,9.92,1
28,298,98,2,1.5,2.5,7.5,1
40,307,108,2,4.0,3.5,7.7,0
103,314,106,2,4.0,3.5,8.25,0
225,305,105,2,3.0,2.0,8.23,0
311,320,104,3,3.0,3.5,8.74,1
201,317,103,3,2.5,3.0,8.54,1
31,300,97,2,3.0,3.0,8.1,1
210,301,104,3,3.5,4.0,8.12,1
262,312,104,3,3.5,4.0,8.09,0
258,324,100,3,4.0,5.0,8.64,1
388,307,105,2,2.0,3.5,8.1,0
170,311,99,2,2.5,3.0,7.98,0
383,324,110,4,4.5,4.0,9.15,1
281,311,102,3,4.5,4.0,8.64,1
141,329,110,2,4.0,3.0,9.15,1
276,322,110,3,3.5,3.0,8.96,1
81,312,105,3,2.0,3.0,8.02,1
166,322,110,5,4.5,4.0,8.97,0
87,315,106,3,4.5,3.5,8.42,0
69,318,109,3,3.5,4.0,9.22,1
142,332,118,2,4.5,3.5,9.36,1
289,314,104,4,5.0,5.0,9.02,0
220,312,104,3,3.5,3.5,8.42,0
278,320,101,2,2.5,3.0,8.62,0
183,299,100,2,3.0,3.5,7.88,0
78,301,99,2,3.0,2.0,8.22,0
96,304,100,4,1.5,2.5,7.84,0
27,322,109,5,4.5,3.5,8.8,0
169,293,97,2,2.0,4.0,7.8,1
354,300,102,3,3.5,2.5,8.17,0
168,313,102,3,2.0,3.0,8.27,0
118,290,104,4,2.0,2.5,7.46,0
43,313,107,2,2.5,2.0,8.5,1
132,303,105,5,5.0,4.5,8.65,0
222,316,110,3,3.5,4.0,8.56,0
244,325,114,3,3.5,3.0,9.04,1
172,334,117,5,4.0,4.5,9.07,1
295,316,101,2,2.5,2.0,8.32,1
352,325,110,4,3.5,4.0,8.67,1
331,327,113,3,3.5,3.0,8.66,1
160,297,100,1,1.5,2.0,7.9,0
147,315,105,3,2.0,2.5,8.48,0
58,298,99,2,4.0,2.0,7.6,0
232,319,106,3,3.5,2.5,8.33,1
149,339,116,4,4.0,3.5,9.8,1
255,321,114,4,4.0,5.0,9.12,0
304,323,107,3,3.5,3.5,8.55,1
70,328,115,4,4.5,4.0,9.16,1
73,321,111,5,5.0,5.0,9.45,1
66,325,112,4,3.5,3.5,8.92,0
237,325,112,4,4.0,4.5,9.17,1
68,316,107,2,3.5,3.5,8.64,1
112,321,109,4,4.0,4.0,8.68,1
18,319,106,3,4.0,3.0,8.0,1
116,310,106,4,4.5,4.5,9.04,1
153,321,112,5,5.0,5.0,9.06,1
259,326,102,4,5.0,5.0,8.76,1
21,312,107,3,3.0,2.0,7.9,1
234,304,100,2,2.5,3.5,8.07,0
48,339,119,5,4.5,4.0,9.7,0
75,314,106,3,3.0,5.0,8.9,0
261,327,108,5,5.0,3.5,9.13,1
377,297,96,2,2.5,2.0,7.43,0
229,318,112,3,4.0,3.5,8.67,0
4,322,110,3,3.5,2.5,8.67,1
157,315,105,3,2.0,2.5,8.34,0
400,333,117,4,5.0,4.0,9.66,1
254,335,115,4,4.5,4.5,9.68,1
3,316,104,3,3.0,3.5,8.0,1
104,317,104,2,4.5,4.0,8.47,0
387,302,101,2,2.5,3.5,7.96,0
213,338,120,4,5.0,5.0,9.66,1
156,312,109,3,3.0,3.0,8.69,0
114,320,110,2,4.0,3.5,8.56,0
90,316,109,4,4.5,3.5,8.76,1
342,326,110,3,3.5,3.5,8.76,1
301,309,106,2,2.5,2.5,8.0,0
71,332,118,5,5.0,5.0,9.64,1
199,311,104,3,4.5,4.5,8.43,0
358,301,104,2,3.5,3.5,7.89,1
253,318,100,2,2.5,3.5,8.54,1
397,325,107,3,3.0,3.5,9.11,1
89,314,108,3,4.5,3.5,8.14,0
57,316,102,3,2.0,3.0,7.4,0
124,308,108,3,3.5,3.5,8.22,0
11,325,106,3,3.5,4.0,8.4,1
343,308,106,3,3.0,3.0,8.24,0
238,329,114,5,4.5,5.0,9.19,1
83,320,110,5,5.0,4.5,9.22,1
215,331,117,4,4.5,5.0,9.42,1
293,302,99,2,1.0,2.0,7.97,0
177,329,119,4,4.5,4.5,9.16,1
35,331,112,5,4.0,5.0,9.8,1
216,330,116,5,5.0,4.5,9.36,1
37,299,106,2,4.0,4.0,8.4,0
285,340,112,4,5.0,4.5,9.66,1
39,304,105,1,3.0,1.5,7.5,0
106,316,110,3,4.0,4.5,8.78,1
146,320,113,2,2.0,2.5,8.64,1
52,312,100,2,1.5,3.5,7.9,1
263,308,103,2,2.5,4.0,8.36,1
398,330,116,4,5.0,4.5,9.45,1
61,309,100,2,3.0,3.0,8.1,0
7,321,109,3,3.0,4.0,8.2,1
9,302,102,1,2.0,1.5,8.0,0
347,304,97,2,1.5,2.0,7.64,0
126,300,100,3,2.0,3.0,8.66,1
202,315,110,2,3.5,3.0,8.46,1
192,323,110,5,4.0,5.0,8.98,1
36,320,110,5,5.0,5.0,9.2,1
375,315,105,2,2.0,2.5,7.65,0
312,328,108,4,4.5,4.0,9.18,1
308,325,112,4,4.0,4.0,9.0,1
336,325,111,4,4.0,4.5,9.11,1
291,307,105,2,2.5,3.0,7.65,0
223,324,113,4,4.5,4.0,8.79,0
269,327,113,4,4.5,5.0,9.14,0
95,303,99,3,2.0,2.5,7.66,0
282,317,110,3,4.0,4.5,9.11,1
123,310,106,4,1.5,2.5,8.36,0
125,301,106,4,2.5,3.0,8.47,0
180,307,102,3,3.0,3.0,8.27,0
319,324,111,3,2.5,2.0,8.8,1
399,312,103,3,3.5,4.0,8.78,0
348,299,94,1,1.0,1.0,7.34,0
316,308,104,2,2.5,3.0,8.07,0
370,301,98,1,2.0,3.0,8.03,1
314,301,100,3,3.5,3.0,8.04,0
307,323,110,3,4.0,3.5,9.1,1
372,324,110,3,3.5,3.0,9.22,1
198,310,106,2,3.5,2.5,8.33,0
287,336,118,5,4.5,4.0,9.19,1
384,300,100,3,3.0,3.5,8.26,0
378,290,100,1,1.5,2.0,7.56,0
332,311,105,2,3.0,2.0,8.12,1
275,315,100,1,2.0,2.5,7.95,0
187,317,107,3,3.5,3.0,8.68,1
159,306,106,2,2.0,2.5,8.14,0
315,305,105,2,3.0,4.0,8.13,0
197,306,105,2,3.0,2.5,8.26,0
260,331,119,4,5.0,4.5,9.34,1
86,319,103,4,4.5,3.5,8.66,0
267,312,105,2,2.0,2.5,8.45,0
191,324,111,5,4.5,4.0,9.16,1
79,296,95,2,3.0,2.0,7.54,1
150,311,106,2,3.5,3.0,8.26,1
296,317,100,2,3.0,2.5,8.57,0
367,320,104,3,3.5,4.5,8.34,1
256,307,110,4,4.0,4.5,8.37,0
32,327,103,3,4.0,4.0,8.3,1
209,305,106,2,3.0,3.0,8.16,0
6,330,115,5,4.5,3.0,9.34,1
274,312,99,1,1.0,1.5,8.01,1
330,297,96,2,2.5,1.5,7.89,0
17,317,107,3,4.0,3.0,8.7,0
1,337,118,4,4.5,4.5,9.65,1
288,324,114,5,5.0,4.5,9.08,1
211,325,108,4,4.5,4.0,9.06,1
93,298,98,2,4.0,3.0,8.03,0
171,312,101,2,2.5,3.5,8.04,1
303,322,105,2,3.0,3.0,8.45,1
30,310,99,2,1.5,2.0,7.3,0
230,324,111,4,3.0,3.0,9.01,1
100,323,113,3,4.0,4.0,8.88,1
327,299,100,3,2.0,2.0,8.02,0
333,308,106,3,3.5,2.5,8.21,1
391,314,102,2,2.0,2.5,8.24,0
143,331,115,5,4.0,3.5,9.44,1
371,310,103,2,2.5,2.5,8.24,0
15,311,104,3,3.5,2.0,8.2,1
85,340,115,5,4.5,4.5,9.45,1
67,327,114,3,3.0,3.0,9.02,0
305,313,106,2,2.5,2.0,8.43,0
108,338,117,4,3.5,4.5,9.46,1
283,312,106,3,4.0,3.5,8.79,1
340,324,107,5,3.5,4.0,8.66,1
130,333,118,5,5.0,5.0,9.35,1
84,322,115,5,4.0,4.5,9.36,1
135,333,113,5,4.0,4.0,9.28,1
56,320,103,3,3.0,3.0,7.7,0
99,332,119,4,5.0,4.5,9.24,1
349,302,99,1,2.0,2.0,7.25,0
337,319,110,3,3.0,2.5,8.79,0
88,317,107,2,3.5,3.0,8.28,0
185,316,106,2,2.5,4.0,8.32,0
251,320,104,3,3.0,2.5,8.57,1
45,326,113,5,4.5,4.0,9.4,1
196,307,107,2,3.0,3.5,8.52,1
46,322,110,5,5.0,4.0,9.1,1
111,305,108,5,3.0,3.0,8.48,0
376,304,101,2,2.0,2.5,7.66,0
205,298,105,3,3.5,4.0,8.54,0
131,339,114,5,4.0,4.5,9.76,1
188,335,118,5,4.5,3.5,9.44,1
51,313,98,3,2.5,4.5,8.3,1
396,324,110,3,3.5,3.5,9.04,1
20,303,102,3,3.5,3.0,8.5,0
323,314,107,2,2.5,4.0,8.27,0
164,317,105,3,3.5,3.0,8.56,0
217,322,112,4,4.5,4.5,9.26,1
341,312,107,3,3.0,3.0,8.46,1
392,318,106,3,2.0,3.0,8.65,0
373,336,119,4,4.5,4.0,9.62,1
325,315,104,3,3.0,2.5,8.33,0
390,320,108,3,3.5,4.0,8.44,1
363,338,115,5,4.5,5.0,9.23,1
139,326,116,2,4.5,3.0,9.08,1
226,296,99,2,2.5,2.5,8.03,0
233,312,107,2,2.5,3.5,8.27,0
239,310,104,3,2.0,3.5,8.37,0
120,327,104,5,3.0,3.5,8.84,1
369,298,92,1,2.0,2.0,7.88,0
133,309,105,5,3.5,3.5,8.56,0
161,315,103,1,1.5,2.0,7.86,0
63,304,105,2,3.0,3.0,8.2,1
110,304,103,5,5.0,4.0,8.64,0
218,321,109,4,4.0,4.0,9.13,1
264,324,111,3,2.5,1.5,8.79,1
155,326,108,3,3.0,3.5,8.89,0
231,313,104,3,4.0,4.5,8.65,0
360,321,107,2,2.0,1.5,8.44,0
138,316,100,2,1.5,3.0,8.16,1
29,295,93,1,2.0,2.0,7.2,0
176,320,111,4,4.5,3.5,8.87,1
24,334,119,5,5.0,4.5,9.7,1
158,309,104,2,2.0,2.5,8.26,0
162,298,99,1,1.5,3.0,7.46,0
227,306,110,2,3.5,4.0,8.45,0
246,328,110,4,4.0,2.5,9.02,1
250,321,111,3,3.5,4.0,8.83,1
65,325,111,3,3.0,3.5,8.7,0
379,303,98,1,2.0,2.5,7.65,0
318,300,99,1,1.0,2.5,8.01,0
389,296,97,2,1.5,2.0,7.8,0
175,321,111,4,4.0,4.0,8.97,1
122,334,119,5,4.5,4.5,9.48,1
321,317,106,3,4.0,3.5,8.5,1
47,329,114,5,4.0,5.0,9.3,1
204,334,120,5,4.0,5.0,9.87,1
62,307,101,3,4.0,3.0,8.2,0
22,325,114,4,3.0,2.0,8.4,0
38,300,105,1,1.0,2.0,7.8,0
280,304,102,2,3.0,4.0,8.73,0
64,315,107,2,4.0,3.0,8.5,1
366,330,114,4,4.5,3.0,9.17,1
193,322,114,5,4.5,4.0,8.94,1
54,324,112,4,4.0,2.5,8.1,1
299,330,114,3,4.5,4.5,9.24,1
53,334,116,4,4.0,3.0,8.0,1
334,319,108,3,3.0,3.5,8.54,1
270,308,108,4,4.5,5.0,8.34,0
97,306,100,2,3.0,3.0,8.0,0
77,327,112,3,3.0,3.0,8.72,1
91,318,106,2,4.0,4.0,7.92,1
242,317,103,2,2.5,2.0,8.15,0
302,319,108,2,2.5,3.0,8.76,0
13,328,112,4,4.0,4.5,9.1,1
212,328,110,4,5.0,4.0,9.14,1
245,314,107,2,2.5,4.0,8.56,0
214,333,119,5,5.0,4.5,9.78,1
344,305,103,2,2.5,3.5,8.13,0
82,340,120,4,5.0,5.0,9.5,1
152,332,116,5,5.0,5.0,9.28,1
16,314,105,3,3.5,2.5,8.3,0
98,331,120,3,4.0,4.0,8.96,1
140,318,109,1,3.5,3.5,9.12,0
273,294,95,1,1.5,1.5,7.64,0
350,313,101,3,2.5,3.0,8.04,0
329,324,112,4,4.0,3.5,8.77,1
167,302,102,3,3.5,5.0,8.33,0
385,340,113,4,5.0,5.0,9.74,1
49,321,110,3,3.5,5.0,8.85,1
351,318,107,3,3.0,3.5,8.27,1
127,323,113,3,4.0,3.0,9.32,1
148,326,114,3,3.0,3.0,9.11,1
12,327,111,4,4.0,4.5,9.0,1
284,321,111,3,2.5,3.0,8.9,1
290,313,109,3,4.0,3.5,9.0,0
298,320,120,3,4.0,4.5,9.11,0
310,308,110,4,3.5,3.0,8.6,0
145,325,112,2,3.0,3.5,8.96,1
25,336,119,5,4.0,3.5,9.8,1
19,318,110,3,4.0,3.0,8.8,0
345,295,96,2,1.5,2.0,7.34,0
241,296,101,1,2.5,3.0,7.68,0
178,319,110,3,3.5,3.5,9.04,0
113,301,107,3,3.5,3.5,8.34,1
174,323,113,4,4.0,4.5,9.23,1
221,313,103,3,4.0,4.0,8.75,0
382,319,105,3,3.0,3.5,8.67,1
